BOARD 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:20-16:40,,MI,,AL,,AK,,,03:00-05:30,,AN,,BL,,07:30-09:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:40-18:00,,YT,,BL,,GP,,,05:30-08:00,,MI,,DE,,GP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,İZİN,,BE,,,,,,,08:00-09:00,,AL,,AK,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,İZİN,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.03.2025 GÜNDÜZ,,,,,,,,,11.03.2025 GECE,,,,,,,,,,,,,,,,,,,,,
,,,C/D,,EAST,,SPV,,,,,C/D,,EAST,,SPV,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:00-10:40,,MI,,AN,,AI,,,18:00-20:00,,AI,,AK,,GP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:40-12:20,,AK,,BI,,BL,,,20:00-22:00,,AN,,BI,,RI,,,,,GP,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:20-14:00,,AL,,BS,,BE,,,22:00-24:00,,MI,,AL,,BL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:00-15:20,,RI,,AI,,GP,,,00:00-03:00,,AK,,AI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:20-16:40,,BS,,BL,,AL,,,03:00-05:30,,BS,,BE,,07:30-09:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:40-18:00,,BI,,BE,,GP,,,05:30-08:00,,RI,,BL,,GP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,İZİN,,DE,YT,,,,,,08:00-09:00,,BI,,AN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,İZİN,,DE,YT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.03.2025 GÜNDÜZ,,,,,,,,,16.03.2025 GECE,,,,,,,,,,,,,,,,,,,,,
,,,C/D,,EAST,,SPV,,,,,C/D,,EAST,,SPV,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:00-10:40,,BS/BI,,BL,,AK,,,18:00-20:00,,RI,,MI,,AN,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:40-12:20,,BE,,AI,,AN,,,20:00-22:00,,BS/BI,,BL,,AI,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:20-14:00,,DE,,RI,,GP,,,22:00-24:00,,DE,,BE,,GP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:00-15:20,,AK,,BS/BI,,BL,,,00:00-03:00,,AN,,RI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:20-16:40,,AN,,BE,,GP,,,03:00-05:30,,AL,,AK,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:40-18:00,,AL,,DE,,RI,,,05:30-08:00,,MI,,BS/BI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,İZİN,,MI,YT,,,,,,08:00-09:00,,BL,,DE,,GP,,,,,,25.03.2025 GÜNDÜZ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,C/D,WEST,,EAST,,SPV,,,
,,,,,,,,,,İZİN,,YT,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,09:00-10:40,AK,BL,,BA,,BS/BI,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.03.2025 GÜNDÜZ,,,,,,,,,21.03.2025 GECE,,,,,,,,,,,,10:40-12:20,AL,BE,,DE,,AI,,,
,,,C/D,,EAST,,SPV,,,,,C/D,,EAST,,SPV,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,12:20-14:00,MI,BS/BI,,AN,,GP,,,
,09:00-10:40,,DE,,AL,,AN,,,18:00-20:00,,DE,,BE,,BL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,14:00-15:20,BA,AI,,AK,,BL,,,
,10:40-12:20,,RI,,BL,,GP,,,20:00-22:00,,BS/BI,,AI,,AL,,,,,,,,,,,,,,,
